 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
5.0157,1.1290,-0.4688,0.8594,0.1172,0.5078,0.7422,0.1953,-0.2344,0.7422,-0.3906,-0.1562,0.9375,-0.2734
4.9612,1.1241,-0.5469,0.7813,0.0781,0.4297,0.7031,0.1562,-0.3125,0.6641,-0.4297,-0.1953,0.8594,-0.3125
5.0157,1.1193,-0.5469,0.7422,0.0391,0.4297,0.6641,0.1172,-0.3125,0.6250,-0.4688,-0.1562,0.9766,-0.1953
4.8521,0.4545,-0.3516,1.0156,0.3906,0.8203,1.0156,0.4688,-0.0391,1.0156,-0.2734,-0.1562,0.8203,-0.3516
4.9612,1.1388,-0.6250,0.6641,0.0000,0.3906,0.6250,0.0781,-0.3906,0.5859,-0.5078,-0.2734,0.7813,-0.3516
5.0157,1.1339,-0.5859,0.7422,0.0000,0.3906,0.6250,0.1172,-0.3516,0.5859,-0.5078,-0.2344,0.8203,-0.3516
4.9612,1.1437,-0.5469,0.7422,0.0391,0.4297,0.6641,0.1562,-0.3125,0.6250,-0.4688,-0.1953,0.8203,-0.3125
5.0157,1.1339,-0.5469,0.7813,0.0391,0.4297,0.6641,0.1562,-0.3125,0.6641,-0.4688,-0.1953,0.8594,-0.3125
4.9612,1.1339,-0.5469,0.9375,0.1562,0.5469,0.7031,0.1562,-0.3125,0.6250,-0.4688,-0.2344,0.8203,-0.3516
5.0157,1.1339,-0.5469,0.7422,0.0391,0.4297,0.6641,0.1172,-0.3516,0.6250,-0.4688,-0.2344,0.8203,-0.3125
5.0157,0.3421,-0.3906,0.8984,0.1562,0.5859,0.8203,0.2734,-0.1953,0.8203,-0.3125,-0.0781,1.0156,-0.1172
5.0702,1.2268,-0.6641,0.5859,-0.1172,0.2734,0.4688,-0.0391,-0.4688,0.4688,-0.5469,-0.2734,0.7422,-0.4297
4.8521,0.0538,-0.5469,0.7813,0.0781,0.4297,0.6250,0.1172,-0.3516,0.5859,-0.5078,-0.2344,0.7813,-0.3516
