 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
4.9612,0.2981,-1.1719,0.4297,-1.4844,-0.5859,-0.1562,0.9766,0.0391,0.9375,0.0391,-0.1953,1.0156,-0.0781
5.0157,0.5327,-1.2109,0.3906,-1.4844,-0.6641,-0.1562,0.8984,0.0000,0.8594,0.0000,-0.2734,0.9766,-0.1172
4.9612,0.5670,-1.2500,0.4297,-1.4844,-0.6250,-0.1562,0.9375,0.0000,0.8594,0.0000,-0.2344,1.0156,-0.1172
4.9612,0.0098,-1.2109,0.4688,-1.4453,-0.5469,-0.0781,1.0156,0.0391,0.8984,0.0391,-0.1953,1.0156,-0.0781
4.9612,0.8944,-1.2500,0.3906,-1.4453,-0.5859,-0.1562,0.9375,0.0000,0.8594,-0.0391,-0.2734,0.9766,-0.1562
4.9612,0.2493,-1.2109,0.4688,-1.4063,-0.5078,-0.0781,1.0156,0.0391,0.8594,-0.0391,-0.2734,1.0156,-0.1172
4.9612,0.0000,-1.2500,0.4297,-1.4063,-0.5078,-0.1172,0.9766,0.0391,0.8984,0.0000,-0.2344,1.0156,-0.1172
4.9612,0.7429,-1.2891,0.4297,-1.4063,-0.5078,-0.1562,0.9375,0.0000,0.8203,-0.0391,-0.2734,0.9766,-0.1172
5.0702,0.2981,-1.2109,0.5469,-1.2891,-0.3906,-0.0391,1.0547,0.0391,0.9375,0.0781,-0.2344,1.0156,-0.0781
4.9612,0.2835,-1.2891,0.5078,-1.2891,-0.4297,-0.0781,0.9766,0.0000,0.8594,-0.0391,-0.2734,0.9375,-0.1562
5.0157,0.9335,-1.3281,0.4297,-1.3281,-0.4297,-0.0391,0.9766,0.0000,0.8594,-0.0391,-0.2734,0.9375,-0.1562
5.0157,0.9384,-1.2891,0.4688,-1.2500,-0.3906,-0.1172,0.9766,0.0391,0.8594,0.0000,-0.2344,1.0156,-0.0781
4.9612,0.9140,-1.2891,0.4688,-1.2500,-0.3516,-0.1172,0.9766,0.0000,0.8984,0.0000,-0.2344,0.9766,-0.1172
5.0702,0.9677,-1.2891,0.4688,-1.2109,-0.3516,-0.1172,0.9375,0.0000,0.8594,0.0000,-0.2344,0.9766,-0.1172
5.0157,0.0196,-1.2891,0.4688,-1.1719,-0.3125,-0.1172,0.9766,0.0391,0.8594,0.0000,-0.2344,1.0156,-0.1172
5.1793,0.3128,-1.2109,0.5078,-1.1328,-0.2734,0.0000,1.0547,0.0781,0.8984,0.0391,-0.1953,1.0156,-0.0781
5.0157,0.2493,-1.2109,0.4297,-1.1328,-0.2734,-0.1172,0.9375,0.0000,0.8594,0.0000,-0.2344,1.0156,-0.0781
5.0157,0.2493,-1.1719,0.4688,-1.0547,-0.2344,-0.0781,0.9375,0.0391,0.8984,0.0391,-0.1953,1.0156,-0.0781
5.0157,0.2395,-1.1719,0.4297,-1.0937,-0.2344,-0.1172,0.8594,-0.0391,0.8203,0.0000,-0.2734,0.9375,-0.1562
4.9612,0.2688,-1.0937,0.4688,-1.0156,-0.1953,-0.0781,0.8594,0.0391,0.8984,0.0391,-0.2344,1.0156,-0.1172
5.0157,0.2688,-1.0937,0.4688,-1.0156,-0.1562,-0.0781,0.8203,0.0000,0.8984,0.0000,-0.2344,0.9766,-0.1172
4.9612,0.2786,-1.0937,0.4688,-1.0156,-0.1172,-0.0781,0.7813,0.0000,0.8594,0.0000,-0.2344,1.0156,-0.0781
4.9067,0.3372,-0.9766,0.5078,-0.9766,-0.0781,-0.0781,0.7813,0.0391,0.8984,0.0391,-0.1953,1.0156,-0.0781
4.9612,0.2835,-1.0547,0.4688,-1.0156,-0.0391,-0.1172,0.7422,0.0391,0.8984,0.0391,-0.2344,1.0156,-0.0781
5.0157,0.3128,-1.0156,0.5078,-1.0156,-0.0391,-0.0781,0.6641,0.0000,0.8594,0.0000,-0.2734,0.9375,-0.1562
4.9612,0.2737,-1.0156,0.4297,-1.0547,-0.0391,-0.1172,0.5469,-0.0391,0.8594,0.0000,-0.2734,0.9766,-0.1172
5.0702,0.3030,-1.0156,0.4688,-1.0547,0.0000,-0.0781,0.5469,0.0000,0.8984,0.0391,-0.1953,1.0156,-0.0781
5.0157,0.2981,-1.0156,0.4297,-1.0937,0.0000,-0.0781,0.4688,0.0000,0.8984,0.0391,-0.2344,1.0156,-0.1172
4.9612,0.2835,-1.0156,0.4297,-1.1328,0.0000,-0.1172,0.3906,0.0000,0.8594,0.0781,-0.2344,0.9766,-0.1172
4.9612,0.3470,-1.0156,0.5078,-1.0937,0.0781,-0.0781,0.3906,0.0391,0.8984,0.0391,-0.1953,1.0156,-0.0781
5.0157,0.2786,-1.0547,0.4297,-1.1719,0.0000,-0.1172,0.2734,-0.0391,0.8594,0.0000,-0.2734,0.9375,-0.1562
5.0157,0.2542,-1.0156,0.4688,-1.1719,0.0391,-0.1172,0.1953,0.0000,0.8984,0.0391,-0.1953,1.0547,-0.0781
5.0157,0.2395,-1.0156,0.4688,-1.1328,0.1172,-0.0781,0.2344,0.0781,0.9766,0.0781,-0.1562,1.0547,-0.0391
5.0157,0.2884,-0.9375,0.5469,-1.0547,0.1562,-0.0781,0.1172,0.0000,0.8984,0.0391,-0.2344,1.0156,-0.1172
5.0157,0.3079,-0.8984,0.5469,-1.0937,0.1953,-0.0781,0.0781,0.0000,0.8984,0.0391,-0.2344,1.0156,-0.0781
5.0157,0.3421,-0.8594,0.5859,-1.0547,0.2734,-0.0391,0.0391,0.0000,0.8594,0.0000,-0.1953,1.0156,-0.0781
4.8521,0.3666,-0.8594,0.5469,-1.0937,0.2734,-0.0781,-0.0781,0.0000,0.8984,0.0000,-0.2344,0.9766,-0.1172
4.9612,1.0655,-0.9375,0.4688,-1.1719,0.1953,-0.1562,-0.2344,-0.0781,0.7813,-0.0781,-0.3125,0.8984,-0.1562
5.0157,0.7967,-0.9375,0.4688,-1.1328,0.3125,-0.1172,-0.2734,0.0000,0.8594,-0.0391,-0.2734,0.9766,-0.1172
