 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
3.4347,0.1662,-0.3125,1.0547,0.0391,0.3516,1.0937,-0.0781,0.1953,0.8203,-0.3125,0.0000,1.0156,-0.2344
12.2122,0.1075,-0.3516,1.0156,0.0000,0.3125,1.0156,-0.1172,0.1953,0.8203,-0.3516,-0.0391,0.9375,-0.2344
11.7215,0.1222,-0.3516,1.0156,0.0000,0.3516,1.0547,-0.0781,0.1953,0.8203,-0.3516,0.0000,0.9766,-0.2344
11.4489,0.1075,-0.3906,1.0156,0.0000,0.3516,1.0156,-0.0781,0.2344,0.8203,-0.3906,-0.0391,0.9375,-0.2344
13.3025,1.1388,-0.3125,1.0937,0.0391,0.4297,1.0937,-0.0391,0.2734,0.7813,-0.4297,-0.0391,0.8984,-0.2734
11.9396,0.2933,-0.3906,0.9766,-0.0391,0.3125,0.9766,-0.0781,0.2344,0.7422,-0.4297,0.0000,0.9375,-0.2734
11.2308,0.0978,-0.3516,1.0547,0.0000,0.3516,1.0547,-0.0391,0.2344,0.8203,-0.3906,0.0391,1.0156,-0.2344
11.3944,0.2297,-0.3516,1.0547,0.0000,0.3516,1.0547,-0.0391,0.2344,0.8203,-0.3906,0.0781,1.0547,-0.2344
11.6124,0.1271,-0.3516,1.0547,0.0000,0.3516,1.0547,-0.0391,0.2344,0.7813,-0.3906,0.0781,1.0547,-0.1953
11.7215,0.1075,-0.3516,1.0156,-0.0391,0.3516,1.0547,-0.0781,0.1953,0.7813,-0.3516,0.1172,1.0937,-0.1562
11.8305,0.1026,-0.3516,1.0156,-0.0391,0.3516,1.0547,-0.0781,0.2344,0.8203,-0.3516,0.1172,1.1328,-0.1172
0.2726,0.2297,-0.2734,1.0937,0.0781,0.4297,1.0937,-0.0391,0.1172,0.7813,-0.3516,0.1172,1.1328,-0.0781
11.6670,0.1124,-0.3906,0.9375,-0.0781,0.3125,1.0547,-0.0781,0.0391,0.6641,-0.3906,0.0000,1.0547,-0.1172
12.0486,0.1075,-0.3516,0.9375,-0.0391,0.3516,1.0547,-0.0781,0.0000,0.7031,-0.3125,-0.0391,1.0547,-0.0781
12.2667,0.1222,-0.3516,0.9766,-0.0391,0.3516,1.0547,-0.0781,0.0000,0.7031,-0.2344,-0.0781,1.0547,-0.0781
12.3757,0.6403,-0.3125,0.9375,-0.0391,0.3516,1.0547,-0.1172,0.0000,0.7031,-0.1953,-0.0781,1.0547,-0.0781
12.2667,0.1222,-0.3516,0.9375,-0.0391,0.3516,1.0547,-0.1172,0.0391,0.7813,-0.1953,-0.0781,1.0547,-0.0781
12.3212,0.1515,-0.3125,0.9766,-0.0391,0.3906,1.1328,0.0000,0.2344,0.9375,0.0000,0.0391,1.1328,0.0391
13.6842,0.9873,-0.3516,0.9375,-0.0781,0.3516,0.9766,-0.1562,0.0781,0.7031,-0.1172,-0.1562,0.9766,-0.1562
12.2667,0.1515,-0.3906,0.9375,-0.0781,0.3516,1.0156,-0.1562,0.1953,0.8594,0.0391,-0.1172,1.0547,-0.1172
12.1576,0.1173,-0.3906,0.9375,-0.0781,0.3906,1.0156,-0.1172,0.2734,0.8984,0.1172,-0.1172,1.0937,-0.1172
12.2122,0.1075,-0.3906,0.9766,-0.0781,0.3906,1.0156,-0.1562,0.3125,0.9375,0.1172,-0.0391,1.0937,-0.1172
12.2122,0.1075,-0.3906,0.9766,-0.0781,0.3906,0.9766,-0.1562,0.4688,1.2891,0.2344,0.0000,1.1719,-0.1172
12.3212,0.2688,-0.3906,1.0156,-0.0781,0.4297,0.9766,-0.1172,0.5078,1.4062,0.4688,0.0000,1.2109,-0.1172
0.5997,0.1857,-0.3125,1.0937,0.0000,0.5469,1.0156,-0.0391,0.4688,1.4453,0.5859,0.1562,1.3672,0.0000
12.5393,0.2199,-0.4297,0.9375,-0.1172,0.4297,0.8594,-0.1562,0.3125,1.2500,0.3906,0.1953,1.3672,-0.0781
13.5206,0.7185,-0.3906,0.9766,-0.1172,0.4688,0.8594,-0.1562,0.2344,1.2109,0.2344,0.1953,1.3672,-0.0781
12.5393,0.1075,-0.4297,1.0547,-0.0781,0.5469,0.8984,-0.1172,0.1562,1.2109,0.0781,0.2734,1.4844,0.0391
12.9209,0.1124,-0.3906,1.0547,-0.0781,0.5859,0.9375,-0.1172,0.1172,1.1328,-0.1172,0.3125,1.6406,0.0781
13.1935,0.1075,-0.3906,1.0937,-0.0781,0.5859,0.9766,-0.1172,0.0781,1.0937,-0.1953,0.1562,1.6406,0.0781
13.4116,0.1271,-0.3906,1.0937,-0.0781,0.6250,0.9766,-0.0781,0.1562,1.0937,-0.2344,0.0000,1.6797,0.1172
1.0359,0.0635,-0.2734,1.2891,0.0000,0.7813,1.1328,0.0391,0.2344,1.2109,-0.1562,-0.1562,1.6797,0.1172
0.2726,1.0411,-0.3906,1.1719,-0.1172,0.6250,0.9766,-0.1562,0.0391,0.8594,-0.3906,-0.6250,1.3281,-0.0781
12.2667,0.0929,-0.4297,1.1328,-0.1172,0.7031,0.9766,-0.0781,0.1172,0.8984,-0.3516,-0.9375,1.2109,-0.0781
