 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
4.9612,0.0000,-0.3516,0.9766,0.0000,0.1172,0.9766,0.1562,-0.2344,0.7813,-0.4297,0.0000,1.0547,0.0000
4.8521,0.0000,-0.3125,1.0547,0.0391,0.1562,1.0156,0.1953,-0.2344,0.8203,-0.4297,0.0000,1.0547,0.0000
5.0157,0.0000,-0.3516,0.9375,-0.0391,0.0781,0.9375,0.1172,-0.2344,0.7813,-0.4297,-0.0391,1.0156,-0.0391
5.0157,0.0000,-0.3516,0.9766,0.0000,0.1172,0.9375,0.1562,-0.2344,0.7813,-0.4297,-0.0391,1.0156,0.0000
5.0157,0.0000,-0.3516,0.9766,0.0000,0.1172,0.9375,0.1172,-0.2344,0.7813,-0.4297,-0.0391,1.0156,0.0000
5.0157,0.0000,-0.3516,0.9766,0.0000,0.1172,0.9375,0.1562,-0.2344,0.7813,-0.4297,-0.0391,1.0156,0.0000
5.0157,0.0000,-0.3516,0.9766,-0.0391,0.1172,0.9375,0.1562,-0.2344,0.7813,-0.4297,-0.0391,1.0547,0.0000
5.0157,0.0000,-0.3516,0.9766,-0.0391,0.1172,0.9375,0.1562,-0.2344,0.7813,-0.4297,-0.0391,1.0547,0.0000
5.0157,0.0000,-0.2734,1.0547,0.0391,0.1562,1.0156,0.1953,-0.1953,0.8594,-0.3906,-0.0391,1.0937,0.0391
5.0157,0.0000,-0.3516,0.9375,-0.0391,0.0781,0.9375,0.1562,-0.2344,0.7813,-0.4297,-0.0781,1.0156,0.0000
5.0157,0.0000,-0.3125,0.9766,-0.0391,0.1172,0.9375,0.1562,-0.2344,0.7813,-0.4297,-0.0781,1.0547,0.0000
5.0157,0.0000,-0.3516,0.9766,0.0000,0.1562,0.9375,0.1562,-0.2344,0.7813,-0.3906,-0.0391,1.0547,0.0000
4.8521,0.0000,-0.2734,1.0156,0.0000,0.1562,0.9375,0.1562,-0.2344,0.7813,-0.4297,-0.0781,1.0547,0.0000
