 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
7.4690,0.8749,-0.1562,0.9766,0.0391,0.5469,0.8984,-0.0391,-0.0781,1.0156,0.4297,0.0391,1.0156,-0.2344
1.3630,0.8700,-0.1562,0.9375,0.0391,0.5078,0.8594,-0.0391,-0.1562,1.0937,0.5469,0.0000,1.0156,-0.2734
13.6296,0.8358,-0.1953,0.9375,0.0391,0.5078,0.8203,-0.0391,-0.1562,1.2109,0.6250,-0.0391,1.0156,-0.2344
13.9022,1.1193,-0.1562,0.9375,0.0391,0.5078,0.8203,-0.0391,-0.1562,1.2891,0.6641,-0.1172,1.0937,-0.1562
0.7087,0.8065,-0.0781,1.0547,0.1172,0.6250,0.9766,0.0781,-0.0781,1.4844,0.8203,-0.0781,1.0937,-0.0781
12.4302,0.8211,-0.2344,0.8984,0.0000,0.4297,0.7422,-0.0781,-0.2344,1.2500,0.6641,-0.1953,0.9766,-0.1172
12.8119,0.8065,-0.1953,0.9375,0.0000,0.4688,0.7813,-0.0391,-0.2344,1.2500,0.6641,-0.1953,1.0156,-0.0781
13.0844,0.8309,-0.1562,0.8984,-0.0391,0.4297,0.7422,-0.0781,-0.2734,1.2109,0.5859,-0.2344,1.0156,-0.0391
13.1935,0.7918,-0.1562,1.0156,0.0391,0.5078,0.7813,-0.0391,-0.2344,1.1719,0.5469,-0.2344,1.0156,0.0000
13.5206,0.8260,-0.1562,0.9375,0.0000,0.4688,0.7813,-0.0781,-0.1953,1.1328,0.5469,-0.2344,1.0547,0.0000
13.5206,0.7967,-0.1562,0.9766,-0.0391,0.5078,0.7422,-0.0781,-0.1562,1.0937,0.4688,-0.2344,1.0547,0.0391
13.6296,0.8162,-0.1562,0.9766,-0.0391,0.4688,0.7031,-0.1172,-0.1562,1.0156,0.4297,-0.2344,0.9766,0.0391
0.7087,0.5425,-0.1172,1.0156,0.0000,0.4688,0.7031,-0.0781,-0.0781,1.0156,0.3906,-0.2734,1.0156,0.0391
13.3570,0.8847,-0.1562,0.9375,-0.1172,0.4297,0.6641,-0.1172,-0.1562,1.0156,0.3516,-0.2734,0.9766,0.0000
13.7932,0.9775,-0.1172,0.9766,-0.0781,0.4688,0.6250,-0.1172,-0.1172,0.9375,0.2734,-0.3125,0.9766,0.0391
13.5751,0.8944,-0.1172,0.9375,-0.0781,0.4688,0.6250,-0.1172,-0.1172,0.9766,0.2344,-0.2734,0.9766,0.0000
13.5206,0.8798,-0.0781,0.9375,-0.0781,0.5078,0.5859,-0.1172,-0.1172,0.9766,0.1953,-0.1562,1.0547,0.0000
13.5206,0.9042,-0.0781,0.9375,-0.1172,0.5078,0.5859,-0.1172,-0.0781,1.0156,0.1953,-0.1953,1.0156,-0.0391
13.3570,0.8651,-0.0391,0.8984,-0.1172,0.5859,0.6250,-0.0781,0.0000,1.1719,0.2734,-0.0781,1.1719,0.0781
0.1636,0.2151,-0.0391,0.8984,-0.1172,0.5469,0.5859,-0.1172,-0.0391,1.0547,0.0781,-0.2344,0.9375,-0.1172
12.9754,0.9091,-0.0391,0.8203,-0.1953,0.5078,0.5859,-0.1562,-0.0391,1.0156,0.0781,-0.1953,1.0156,-0.0781
13.0844,0.9482,0.0391,0.8984,-0.1172,0.6250,0.6641,-0.0391,0.0000,1.0156,0.1172,-0.1953,0.9766,-0.1172
13.0299,0.9140,0.0000,0.8203,-0.1562,0.5078,0.6250,-0.1172,0.0000,1.0156,0.1172,-0.1953,0.9766,-0.1172
12.9754,0.9286,0.0000,0.8203,-0.1953,0.5078,0.6250,-0.1562,0.0000,1.0156,0.0781,-0.1953,0.9375,-0.1172
12.9754,0.9971,0.0391,0.7813,-0.1953,0.5078,0.6250,-0.1562,0.0000,0.9766,0.0781,-0.1953,0.9375,-0.1172
0.6542,0.9238,0.1562,0.8984,-0.0781,0.6250,0.7813,-0.0781,0.0391,1.0156,0.1562,-0.0391,1.0937,0.0000
12.8119,1.0313,0.0391,0.7031,-0.1953,0.5078,0.5859,-0.2344,-0.0781,0.8594,0.0000,-0.1562,0.9375,-0.1172
12.9209,0.9580,0.0781,0.7031,-0.1562,0.5078,0.6250,-0.1953,-0.0781,0.8594,-0.0391,-0.1172,0.9766,-0.0781
13.0299,0.9629,0.0781,0.7031,-0.1562,0.5078,0.6250,-0.2344,-0.0781,0.8203,-0.0391,-0.1953,1.0156,-0.0781
13.1935,0.9531,0.0781,0.7031,-0.1172,0.5078,0.6641,-0.2344,-0.1172,0.8203,-0.0781,-0.2344,1.0547,-0.0391
13.3570,0.9433,0.0781,0.7031,-0.1172,0.4688,0.6250,-0.2344,-0.1172,0.7813,-0.1172,-0.2734,1.0547,0.0000
13.4661,0.4008,0.1562,0.7813,-0.1172,0.5078,0.6250,-0.2344,-0.1562,0.7813,-0.1172,-0.2344,1.0547,-0.0391
1.0359,0.8993,0.1953,0.8203,-0.0391,0.5469,0.7031,-0.1953,-0.0781,0.8203,-0.1172,-0.1953,1.0937,-0.0391
13.1935,1.2072,0.0391,0.7031,-0.1562,0.4297,0.5469,-0.2734,-0.1953,0.7031,-0.1562,-0.2344,0.9766,-0.1172
12.8664,0.9531,0.0391,0.7813,-0.1172,0.5078,0.6250,-0.2344,-0.1172,0.7813,-0.1562,-0.2344,1.0156,-0.0391
13.1935,1.0068,0.0391,0.7813,-0.1172,0.4688,0.6641,-0.2344,-0.1562,0.7813,-0.1562,-0.2734,1.0156,-0.0391
13.3570,1.0362,0.0000,0.8203,-0.1172,0.5078,0.7031,-0.2734,-0.1562,0.7813,-0.1562,-0.3125,1.0156,-0.0391
13.3570,1.0215,0.0000,0.8203,-0.0781,0.5469,0.7031,-0.2734,-0.1172,0.7813,-0.1562,-0.3125,1.0156,-0.0391
13.6296,1.1241,0.0391,0.8203,-0.1172,0.5078,0.7422,-0.2734,-0.1172,0.7813,-0.1562,-0.3516,0.9375,-0.0391
1.0904,0.8700,0.1172,0.9375,-0.0781,0.6250,0.7813,-0.2734,-0.0391,0.8984,-0.0781,-0.3125,1.0156,0.0000
13.4661,0.3666,0.0781,0.8594,-0.1172,0.4297,0.8203,-0.2734,-0.0391,0.7422,-0.1953,-0.3516,0.8984,-0.0391
12.5938,0.9677,0.0391,0.8203,-0.1562,0.5469,0.7031,-0.3125,0.0000,0.7031,-0.2344,-0.3125,0.8203,-0.1172
12.6483,0.9824,0.0391,0.8203,-0.1172,0.5469,0.6641,-0.2734,0.0391,0.7422,-0.2344,-0.2734,0.7813,-0.1562
12.7028,1.0362,0.0781,0.8203,-0.0781,0.4688,0.7813,-0.2734,0.0781,0.7031,-0.2344,-0.2344,0.7422,-0.1953
12.3757,0.9824,0.1172,0.8594,-0.0391,0.5469,0.6641,-0.3125,0.0781,0.6641,-0.2734,-0.1953,0.7422,-0.2344
12.4847,0.9873,0.0781,0.7813,-0.0391,0.5078,0.6250,-0.3125,0.0781,0.6641,-0.2734,-0.0391,0.8594,-0.1953
13.5206,0.3763,0.1172,0.7813,0.0000,0.4688,0.7422,-0.2734,0.0781,0.6641,-0.3125,0.0391,1.0547,-0.1953
11.9941,0.9677,0.0000,0.7422,-0.0391,0.4688,0.5859,-0.3906,0.0391,0.6250,-0.3516,-0.0391,1.1719,-0.2734
12.3212,0.9775,0.0781,0.8203,0.0000,0.5078,0.6250,-0.3516,0.0391,0.7031,-0.3125,-0.1172,1.3281,-0.2344
12.4847,0.9922,0.0781,0.8203,0.0000,0.5078,0.7422,-0.3125,0.0391,0.7422,-0.3516,-0.1562,1.4062,-0.1562
12.8664,0.9384,0.0781,0.8984,0.0000,0.4688,0.7813,-0.3125,0.0391,0.7422,-0.3906,-0.2344,1.4844,-0.0781
13.1935,0.9335,0.0781,0.9375,0.0000,0.5078,0.7813,-0.3516,0.0391,0.7422,-0.3906,-0.3516,1.4062,0.0000
13.7387,1.0215,0.1172,0.9766,0.0000,0.5859,0.8203,-0.3516,0.0000,0.7422,-0.3906,-0.4297,1.2109,0.0391
