 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
5.0157,0.6843,-0.3516,0.9766,0.1562,0.5078,0.9766,-0.0391,0.1562,0.8984,-0.2734,0.1953,0.9766,-0.2344
5.0157,0.7136,-0.3906,0.8594,-0.0391,0.3516,0.8203,-0.1172,0.0391,0.7813,-0.3906,0.1172,0.8984,-0.3125
4.7976,0.8651,-0.2344,1.0937,0.1953,0.5469,1.0156,0.0000,0.1562,0.9766,-0.2344,0.2734,1.0547,-0.1562
5.0702,0.6647,-0.4688,0.8203,-0.0391,0.3125,0.8203,-0.1172,0.0391,0.7813,-0.3906,0.1172,0.8984,-0.3125
4.9612,0.6647,-0.4688,0.8203,-0.0391,0.3125,0.8203,-0.1172,0.0391,0.7813,-0.3516,0.1172,0.8984,-0.3125
4.9612,0.6647,-0.3906,0.9766,0.0781,0.4688,1.0547,0.1172,0.2344,0.9375,-0.2734,0.1562,0.8984,-0.3125
5.0157,0.6647,-0.4297,0.8594,-0.0391,0.3125,0.8594,-0.1172,0.0391,0.7813,-0.3516,0.1562,0.8984,-0.3125
4.9612,0.6647,-0.4297,0.8594,-0.0391,0.3516,0.8594,-0.1172,0.0391,0.7813,-0.3516,0.1172,0.8984,-0.3125
5.0702,0.7429,-0.4297,0.8594,-0.0391,0.3125,0.8203,-0.1172,0.0391,0.7813,-0.3906,0.1172,0.8984,-0.3125
4.9612,0.7820,-0.3516,0.9375,0.0391,0.3906,0.9375,-0.0391,0.1172,0.8594,-0.2734,0.2734,1.1719,-0.0781
4.9067,0.7380,-0.4297,0.8594,-0.0391,0.2734,0.7813,-0.1562,0.0000,0.7422,-0.3125,0.1172,0.8984,-0.3125
4.9612,0.6647,-0.4297,0.8594,-0.0391,0.3125,0.8203,-0.1562,0.0391,0.7813,-0.3906,0.1172,0.8984,-0.3125
4.9612,0.6647,-0.4297,0.8984,0.0000,0.3516,0.8594,-0.1172,0.0391,0.8203,-0.3516,0.1562,0.9375,-0.2734
4.9612,0.6647,-0.4297,0.8594,-0.0391,0.3516,0.8594,-0.1172,0.0391,0.7813,-0.3516,0.1172,0.8984,-0.3125
4.9612,0.6647,-0.4297,0.8594,-0.0391,0.3516,0.8594,-0.1172,0.0391,0.7813,-0.3516,0.1172,0.8984,-0.3125
5.0702,0.7087,-0.4297,0.8594,-0.0391,0.3125,0.8594,-0.1172,0.0391,0.7813,-0.3516,0.1172,0.9766,-0.2344
4.9612,0.7869,-0.3516,0.9375,0.0781,0.4297,1.0156,0.0781,0.2344,1.0547,-0.1562,0.3125,1.0547,-0.1172
4.9612,0.6745,-0.5078,0.7813,-0.0781,0.2734,0.7813,-0.1953,-0.0391,0.7031,-0.4297,0.0781,0.8984,-0.3125
4.9612,0.6647,-0.4297,0.9375,0.0391,0.3516,0.8984,-0.1172,0.0391,0.7813,-0.3516,0.1172,0.8984,-0.2734
5.0157,0.6696,-0.4297,0.8594,-0.0391,0.3516,0.8594,-0.1172,0.0391,0.7813,-0.3516,0.1172,0.8984,-0.3125
4.9612,0.6549,-0.4297,0.8594,-0.0391,0.3516,0.9766,-0.0781,0.0781,0.8203,-0.3516,0.1562,0.8984,-0.3125
4.9612,0.6696,-0.4297,0.8594,0.0000,0.3516,0.8984,-0.1172,0.0391,0.8203,-0.3516,0.1562,0.8984,-0.3125
