 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
4.9612,1.1437,-0.5078,0.8984,-0.1172,0.4688,0.8984,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
4.9612,1.1584,-0.5078,0.8984,-0.1172,0.4297,0.8984,-0.1562,0.0000,0.8594,-0.2734,0.0000,1.0156,-0.2344
4.9612,1.1535,-0.5078,0.8984,-0.1172,0.4297,0.8984,-0.1172,0.0391,0.8984,-0.2344,0.0000,0.9766,-0.2344
4.9612,1.1632,-0.5078,0.8984,-0.1172,0.4297,0.8984,-0.1562,0.0000,0.8594,-0.2734,0.0000,1.0156,-0.2344
4.9612,1.1584,-0.5078,0.8984,-0.1172,0.4297,0.8984,-0.1562,0.0000,0.8594,-0.2734,0.0000,1.0156,-0.2344
5.0702,0.5279,-0.4688,0.8984,-0.1172,0.4688,0.8984,-0.1562,0.0000,0.8594,-0.2734,0.0000,1.0156,-0.2344
4.9612,1.0997,-0.5469,0.8594,-0.1172,0.4297,0.8984,-0.1172,0.0000,0.8594,-0.2734,0.0000,0.9766,-0.2344
5.0157,1.1437,-0.5078,0.8984,-0.1172,0.4297,0.8984,-0.1562,0.0000,0.8594,-0.2734,0.0000,1.0156,-0.1953
4.9612,0.1124,-0.5078,0.8984,-0.1172,0.4688,0.9375,-0.1172,0.0000,0.8594,-0.2734,0.0000,0.9766,-0.2344
4.9612,0.1320,-0.5078,0.9375,-0.0781,0.4688,0.9375,-0.1172,0.0000,0.8594,-0.2734,0.0000,0.9766,-0.2344
5.0157,0.0489,-0.5078,0.9375,-0.0781,0.4688,0.9375,-0.1172,0.0000,0.8594,-0.2734,0.0000,0.9766,-0.2344
4.9612,0.1124,-0.5078,0.9375,-0.1172,0.4688,0.9375,-0.1562,0.0000,0.8594,-0.2734,0.0391,1.0156,-0.2344
5.0702,0.1222,-0.5078,0.8984,-0.1172,0.4688,0.8984,-0.1562,0.0000,0.8984,-0.2344,0.0391,1.0547,-0.1953
5.0157,0.1222,-0.5078,0.8984,-0.1172,0.4688,0.9375,-0.1562,-0.0391,0.8594,-0.2734,0.0000,1.0156,-0.2344
5.0157,0.1515,-0.5078,0.9375,-0.1172,0.4688,0.9375,-0.1172,0.0000,0.8594,-0.2734,0.0000,0.9766,-0.2344
5.0157,0.0538,-0.5078,0.9375,-0.1172,0.4688,0.9375,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
4.9612,0.0587,-0.5078,0.8984,-0.1172,0.4688,0.9375,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
4.9612,0.0587,-0.5078,0.8984,-0.1172,0.4688,0.9375,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
4.9612,0.0440,-0.5078,0.9375,-0.1172,0.4688,0.9375,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
4.9612,0.0587,-0.5078,0.9375,-0.0781,0.5078,0.9375,-0.1172,0.0000,0.8594,-0.2344,0.0391,1.0156,-0.1953
5.0157,0.0342,-0.4688,0.9375,-0.0781,0.4688,0.9375,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
5.0702,0.0978,-0.4688,0.8984,-0.1172,0.4688,0.9375,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
4.9612,0.0684,-0.5078,0.8984,-0.1172,0.4688,0.9375,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
4.9067,0.0244,-0.4688,0.8984,-0.1172,0.4688,0.9375,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
4.9067,0.0538,-0.4688,0.8984,-0.1172,0.4688,0.9375,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
5.0702,0.0000,-0.5078,0.8984,-0.1172,0.4688,0.9375,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
4.9612,0.1320,-0.5078,0.8984,-0.1172,0.4688,0.8984,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
5.0157,0.1857,-0.4688,0.8984,-0.1172,0.4688,0.9375,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
5.0702,0.0587,-0.4688,0.9375,-0.1172,0.4688,0.9375,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
4.9612,1.0704,-0.5078,0.8984,-0.1172,0.4688,0.8984,-0.1172,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.1953
5.0157,1.0753,-0.5078,0.9375,-0.1172,0.4688,0.8984,-0.1172,0.0000,0.8594,-0.2734,0.0391,1.0156,-0.2344
4.9612,1.0802,-0.5078,0.8984,-0.1172,0.4688,0.8984,-0.1562,0.0000,0.8984,-0.2344,0.0391,1.0156,-0.2344
