 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
5.0157,0.0000,-0.7031,-0.9375,0.1172,0.4688,-0.9375,0.2734,-0.0781,0.8984,0.0391,0.2344,0.9766,0.0781
4.9612,0.0000,-0.7422,-0.9766,0.0781,0.3906,-0.9375,0.2344,-0.1172,0.8594,0.0000,0.2344,0.9766,0.0781
4.9612,0.0000,-0.7031,-0.9375,0.1172,0.4297,-0.8984,0.2734,-0.1172,0.8594,0.0000,0.2344,0.9766,0.0781
5.0157,0.0000,-0.7422,-0.8984,0.1172,0.4297,-0.8984,0.2734,-0.0781,0.8984,0.0000,0.2344,1.0547,0.1172
5.0157,0.0000,-0.7813,-0.8594,0.1172,0.4688,-0.8594,0.3125,-0.1172,0.8203,-0.0391,0.1953,0.9375,0.0391
5.0702,0.0000,-0.8203,-0.8984,0.0781,0.3906,-0.8594,0.2734,-0.0781,0.8594,0.0000,0.2344,0.9766,0.0781
4.9612,0.0000,-0.8203,-0.8594,0.1172,0.4297,-0.8594,0.2734,-0.0781,0.8984,0.0000,0.2344,0.9766,0.0781
4.9612,0.0000,-0.7813,-0.8594,0.1172,0.3906,-0.8594,0.2734,-0.0781,0.8984,0.0000,0.1953,0.9766,0.0781
5.0157,0.0000,-0.7813,-0.8594,0.1172,0.3906,-0.8594,0.2344,-0.1172,0.8594,0.0000,0.1953,0.9766,0.0781
5.0157,0.0000,-0.7422,-0.8203,0.1172,0.4297,-0.8203,0.2734,-0.0781,0.8984,0.0391,0.1953,0.9766,0.0781
5.0157,0.0000,-0.7031,-0.8594,0.1172,0.3906,-0.8594,0.2344,-0.1172,0.8594,0.0000,0.1953,0.9766,0.0781
5.0702,0.0000,-0.6641,-0.7813,0.1562,0.4297,-0.8203,0.2734,-0.0391,0.9375,0.0781,0.2344,1.0156,0.1172
5.1247,0.0000,-0.7031,-0.8594,0.0781,0.3906,-0.8594,0.1953,-0.1172,0.8203,0.0000,0.1953,0.9375,0.0391
4.9612,0.0000,-0.7031,-0.8594,0.0781,0.4297,-0.8594,0.2344,-0.0781,0.9375,0.0391,0.2344,0.9766,0.0781
5.0157,0.0000,-0.7031,-0.8203,0.0781,0.4297,-0.8594,0.2344,-0.1172,0.8594,0.0000,0.1953,0.9766,0.0781
5.0157,0.0000,-0.7422,-0.8203,0.1172,0.4297,-0.8203,0.2344,-0.0781,0.8594,0.0000,0.2344,0.9766,0.0781
5.0157,0.0000,-0.7422,-0.8203,0.1172,0.3906,-0.8594,0.2344,-0.1172,0.8594,0.0000,0.2344,0.9766,0.0781
