 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
5.8880,0.3617,1.2500,-0.1172,1.2109,-1.2500,-0.2344,1.1719,-0.1172,0.8984,-0.1172,-0.2344,0.9766,-0.1953
2.3443,1.2463,1.2500,-0.1562,1.1719,-1.2109,-0.2734,1.1328,-0.1562,0.8203,-0.1953,-0.2734,0.9375,-0.2344
12.8664,0.3666,1.0547,-0.2734,1.0937,-1.1328,-0.3125,1.0547,-0.1562,0.8594,-0.1953,-0.2734,0.9375,-0.2344
12.4302,0.3519,1.0156,-0.3125,1.0547,-1.0156,-0.3516,1.0156,-0.1562,0.8984,-0.0781,-0.2344,1.0156,-0.1953
12.2667,0.3372,0.9375,-0.3516,1.0156,-0.9375,-0.3516,0.9766,-0.1562,0.8594,-0.1953,-0.2734,0.9766,-0.2344
12.2122,0.3519,0.8594,-0.3906,0.9766,-0.8203,-0.3906,0.9375,-0.1172,0.9375,-0.1172,-0.1953,1.0547,-0.1172
0.7087,0.4301,0.8203,-0.3516,1.0156,-0.7031,-0.4297,0.8203,-0.1953,0.7813,-0.2344,-0.3516,0.9375,-0.2344
11.6670,0.3959,0.6641,-0.4297,0.8984,-0.6641,-0.4297,0.7813,-0.1562,0.8203,-0.1953,-0.2734,0.9375,-0.2344
12.2122,0.5181,0.5859,-0.4297,0.8594,-0.5859,-0.4688,0.7422,-0.1562,0.8203,-0.1953,-0.2734,0.9766,-0.1562
12.4302,0.5670,0.5078,-0.4688,0.8203,-0.4688,-0.4688,0.7031,-0.1562,0.8203,-0.1953,-0.2734,0.9375,-0.2344
12.5393,0.5914,0.3906,-0.4688,0.7813,-0.3516,-0.4688,0.6250,-0.1562,0.8203,-0.1953,-0.2734,0.9375,-0.2344
12.2122,0.5523,0.3125,-0.5078,0.7031,-0.1953,-0.4688,0.5859,-0.1562,0.8203,-0.1953,-0.2734,0.9375,-0.2344
