 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
4.9067,0.8162,-0.4688,0.9375,-0.0391,0.5859,0.8594,0.0391,-0.2344,0.7813,-0.4297,-0.1562,0.9766,-0.2734
4.9612,0.8065,-0.5078,0.8594,-0.0391,0.5469,0.8203,0.0391,-0.2734,0.7422,-0.4688,-0.1953,0.9375,-0.3125
4.9612,0.8309,-0.5078,0.8594,-0.0391,0.5078,0.8203,0.0391,-0.2734,0.7422,-0.4688,-0.1953,0.9375,-0.3125
4.9612,0.8211,-0.5469,0.8594,-0.0781,0.5078,0.7813,0.0000,-0.2734,0.7422,-0.4688,-0.1953,0.9375,-0.3125
5.0157,0.8016,-0.5078,0.8594,-0.0781,0.5078,0.7813,0.0391,-0.2734,0.7422,-0.4688,-0.1953,0.9375,-0.3125
4.9612,0.8260,-0.5078,0.8594,-0.0391,0.5078,0.8203,0.0391,-0.2344,0.8203,-0.3906,-0.1172,1.0156,-0.2344
5.1793,1.0313,-0.4688,0.8984,0.0000,0.5469,0.8203,0.0391,-0.2734,0.7422,-0.5078,-0.2344,0.8594,-0.3906
5.0702,0.8016,-0.5469,0.8594,-0.0781,0.5078,0.7813,0.0000,-0.3125,0.7031,-0.4688,-0.2344,0.9375,-0.3125
4.9612,0.8162,-0.5078,0.8984,-0.0391,0.5469,0.8203,0.0391,-0.2734,0.7422,-0.3906,-0.1562,0.9766,-0.3125
4.9612,0.8065,-0.5078,0.8594,-0.0781,0.5078,0.8203,0.0391,-0.2734,0.7422,-0.4688,-0.1953,0.9375,-0.3125
5.0702,0.8553,-0.5078,0.8594,-0.0781,0.5078,0.7813,0.0000,-0.3125,0.7422,-0.4688,-0.1953,0.9375,-0.3125
4.9612,0.8162,-0.5078,0.8594,-0.0391,0.5469,0.8203,0.0391,-0.2734,0.7422,-0.4688,-0.1953,0.9375,-0.3125
4.9067,0.8944,-0.4688,0.9375,0.0391,0.6641,0.9766,0.1953,-0.1172,0.8984,-0.3906,-0.0781,1.0547,-0.2734
5.0157,1.0997,-0.4297,0.9375,-0.0391,0.4688,0.7422,-0.0391,-0.3516,0.6641,-0.5469,-0.2734,0.8594,-0.2734
5.0702,0.8895,-0.5078,0.8594,-0.0781,0.5078,0.7813,0.0000,-0.3125,0.7422,-0.4688,-0.2344,0.9375,-0.3516
4.9612,0.8113,-0.5469,0.8594,-0.0781,0.5078,0.7813,0.0000,-0.2734,0.7422,-0.5078,-0.1953,0.9375,-0.3125
