 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
3.9253,0.1857,-0.3125,0.9766,-0.0781,0.4297,0.9375,-0.0781,-0.1562,0.8984,-0.2344,-0.5078,0.9375,-0.1172
13.6842,0.1075,-0.3125,0.9766,-0.0781,0.4297,0.8984,-0.0781,-0.1562,0.8594,-0.2344,-0.5078,0.8984,-0.1172
12.8119,0.1026,-0.3125,0.9375,-0.1172,0.3906,0.8984,-0.0781,-0.1562,0.8594,-0.2344,-0.5078,0.9766,-0.1172
12.5938,0.2395,-0.3125,0.9766,-0.0781,0.4297,0.8984,-0.0781,-0.1562,0.8594,-0.2344,-0.5078,0.8984,-0.1172
13.0844,0.5474,-0.2734,1.0156,-0.0391,0.4297,0.9766,0.0000,-0.0781,0.9375,-0.1562,-0.4297,1.0156,-0.0781
0.0000,1.1437,-0.3516,0.8984,-0.1562,0.3516,0.8203,-0.1562,-0.2344,0.7813,-0.2734,-0.5859,0.8594,-0.1562
11.8305,0.0831,-0.3516,0.9375,-0.1172,0.3906,0.8594,-0.1172,-0.1953,0.8203,-0.2344,-0.5469,0.8984,-0.1172
12.1031,0.0880,-0.3125,0.9375,-0.0781,0.3906,0.8984,-0.1172,-0.1562,0.8594,-0.2344,-0.5469,0.8984,-0.1172
12.2667,0.0831,-0.3125,0.9766,-0.0781,0.3906,0.8984,-0.1172,-0.1562,0.8594,-0.2344,-0.5469,0.8984,-0.1172
12.7573,0.1466,-0.3516,0.9375,-0.1172,0.3906,0.8984,-0.1172,-0.1953,0.8594,-0.2344,-0.5469,0.8984,-0.1562
12.3757,0.0733,-0.3125,0.9375,-0.0781,0.3906,0.9375,-0.1172,-0.1562,0.8594,-0.2344,-0.5469,0.8984,-0.1172
0.5452,0.2102,-0.1953,1.0937,0.0391,0.5469,1.0937,0.0000,-0.0781,1.0156,-0.1562,-0.4688,1.0156,0.0000
12.1031,0.1369,-0.3906,0.8594,-0.1562,0.3516,0.8594,-0.1562,-0.2344,0.8203,-0.2344,-0.5469,0.8594,-0.1562
12.1576,0.0782,-0.3125,0.9375,-0.0781,0.3906,0.8984,-0.1172,-0.1562,0.8594,-0.2344,-0.5469,0.8984,-0.1172
12.3757,0.0831,-0.3125,0.9766,-0.1172,0.3906,0.8984,-0.1172,-0.1953,0.8594,-0.2344,-0.5469,0.8984,-0.1562
12.4302,0.1124,-0.3125,0.9766,-0.0781,0.4297,0.9375,-0.0781,-0.1562,0.8984,-0.2344,-0.5078,0.9375,-0.1172
12.3757,0.0635,-0.3125,0.9766,-0.0781,0.4297,0.9375,-0.0781,-0.1562,0.8594,-0.2344,-0.5078,0.9375,-0.1172
12.4847,0.0733,-0.3125,0.9766,-0.0391,0.4297,0.9375,-0.0781,-0.1562,0.8594,-0.2344,-0.5078,0.9375,-0.1172
0.5997,0.2737,-0.2344,1.0156,0.0000,0.4688,1.0156,-0.0391,-0.0781,0.9766,-0.1172,-0.4297,0.9766,-0.0781
11.8850,0.1320,-0.3516,0.8984,-0.1172,0.3516,0.8594,-0.1172,-0.1953,0.8203,-0.2734,-0.5469,0.8594,-0.1562
12.5938,0.4008,-0.3125,1.0156,-0.0391,0.4688,1.0156,-0.0391,-0.1172,0.9375,-0.1562,-0.4688,0.9375,-0.1562
12.5393,0.1613,-0.3125,0.9766,-0.0781,0.3906,0.8984,-0.1172,-0.1562,0.8594,-0.2344,-0.5469,0.8984,-0.1172
12.5938,0.1417,-0.3125,0.9766,-0.0781,0.3906,0.8984,-0.0781,-0.1562,0.8594,-0.2344,-0.5078,0.8984,-0.1172
12.4847,0.1075,-0.3125,0.9766,-0.0781,0.4297,0.9375,-0.0781,-0.1562,0.8594,-0.2344,-0.5078,0.9375,-0.1172
12.5938,0.1271,-0.3125,0.9375,-0.0781,0.3906,0.8984,-0.1172,-0.1562,0.8594,-0.2344,-0.5469,0.8984,-0.1172
