 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
4.9612,0.5181,-0.8594,0.4297,0.3906,0.9766,-0.1953,0.3125,0.0391,0.8984,-0.1953,0.0391,0.9375,-0.3906
4.9612,0.5230,-0.8594,0.4297,0.3906,0.9375,-0.1953,0.2734,0.0000,0.8984,-0.2344,0.0000,0.9375,-0.3906
4.9612,0.5230,-0.8594,0.4297,0.3906,0.9375,-0.1953,0.3125,0.0391,0.9375,-0.1953,0.0391,0.9375,-0.3906
4.9612,0.5230,-0.8984,0.3906,0.3906,0.8984,-0.2344,0.2734,0.0000,0.8594,-0.2344,0.0000,0.8984,-0.4297
4.9612,0.5230,-0.8594,0.4297,0.3906,0.9375,-0.1562,0.3125,0.0391,0.8984,-0.2344,0.0000,0.8984,-0.4297
4.9612,0.5230,-0.8594,0.4297,0.3906,0.9375,-0.1953,0.2734,0.0000,0.8984,-0.2344,0.0000,0.8984,-0.4297
4.9612,0.5279,-0.8594,0.4297,0.3906,0.9375,-0.1562,0.3125,0.0000,0.8984,-0.2344,0.0000,0.8984,-0.4297
4.9612,0.5230,-0.8594,0.4297,0.3906,0.9375,-0.1953,0.2734,0.0000,0.8984,-0.2344,0.0000,0.9375,-0.4297
4.9612,0.5279,-0.8594,0.4297,0.3906,0.9375,-0.1953,0.2734,0.0000,0.8984,-0.2344,0.0000,0.8984,-0.4297
4.9612,0.5230,-0.8594,0.4297,0.3906,0.9766,-0.1562,0.3125,0.0391,0.8984,-0.1953,0.0391,0.9375,-0.3906
5.0157,0.6745,-0.8203,0.3906,0.3516,0.8984,-0.2344,0.2344,-0.0391,0.8594,-0.2344,0.0000,0.8984,-0.4297
4.9612,0.5181,-0.8594,0.4297,0.3906,0.9375,-0.1953,0.2734,0.0000,0.9375,-0.1953,0.0000,0.8984,-0.4297
4.9612,0.5181,-0.8594,0.4297,0.3906,0.9375,-0.1953,0.2734,0.0000,0.8984,-0.2344,0.0000,0.9375,-0.4297
