 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
4.9612,0.5376,-0.2344,-0.7813,0.7031,-0.0781,-0.7422,0.6250,0.1172,0.8984,-0.0781,0.1172,0.8203,-0.5469
5.1247,0.6500,-0.2344,-0.7813,0.7031,0.0000,-0.7422,0.6250,0.1172,0.8984,-0.0781,0.1172,0.8203,-0.5469
5.0157,0.5327,-0.2344,-0.8203,0.6250,-0.0391,-0.7422,0.6250,0.1172,0.8984,-0.1172,0.1172,0.8203,-0.5469
4.9612,0.5279,-0.2344,-0.7813,0.6250,-0.0391,-0.7031,0.6250,0.1172,0.8984,-0.1172,0.1172,0.8203,-0.5469
4.9612,0.5279,-0.2344,-0.7813,0.5859,-0.0391,-0.7031,0.6250,0.1172,0.9375,-0.0781,0.1172,0.8203,-0.5469
4.7976,0.6598,-0.2344,-0.7813,0.5859,-0.0391,-0.7031,0.5859,0.1172,0.8984,-0.1172,0.1172,0.8203,-0.5469
4.9612,0.5279,-0.2344,-0.7813,0.5859,-0.0391,-0.7422,0.5859,0.1172,0.8984,-0.1172,0.1172,0.8203,-0.5469
4.9612,0.5327,-0.2344,-0.7813,0.5859,-0.0391,-0.7422,0.5859,0.1172,0.8984,-0.1172,0.1172,0.8203,-0.5469
4.9612,0.6109,-0.2344,-0.7813,0.5859,-0.0391,-0.7422,0.5859,0.1172,0.9375,-0.0781,0.1562,0.8594,-0.5078
5.0157,0.5327,-0.2734,-0.8203,0.5469,-0.0391,-0.8203,0.5078,0.0781,0.8984,-0.1172,0.1172,0.8203,-0.5469
4.9612,0.5279,-0.2734,-0.8594,0.6250,-0.0391,-0.8594,0.4688,0.0781,0.8984,-0.1172,0.1172,0.7813,-0.5469
5.0157,0.5279,-0.2734,-0.8594,0.5859,-0.0391,-0.8594,0.5078,0.0781,0.8984,-0.1562,0.1172,0.7813,-0.5469
4.9612,0.5279,-0.2344,-0.8594,0.5859,-0.0391,-0.8594,0.5469,0.0781,0.8984,-0.1562,0.1172,0.7813,-0.5469
4.9612,0.5279,-0.2344,-0.8984,0.6250,-0.0391,-0.8594,0.5859,0.0781,0.8984,-0.1562,0.1172,0.7813,-0.5469
4.9612,0.5327,-0.2344,-0.8984,0.6250,-0.0391,-0.8594,0.6250,0.1172,0.8984,-0.1562,0.1172,0.7813,-0.5469
4.9612,0.6109,-0.1953,-0.8984,0.6250,-0.0391,-0.8203,0.7813,0.1953,0.9766,-0.0781,0.1953,0.8203,-0.5469
5.0157,0.5327,-0.1953,-0.8984,0.6250,-0.0781,-0.8594,0.7031,0.0781,0.8984,-0.1562,0.1172,0.7813,-0.5469
5.0157,0.5327,-0.1953,-0.8984,0.6641,-0.1172,-0.8203,0.7422,0.1172,0.8984,-0.1562,0.1172,0.8203,-0.5469
4.9067,0.5474,-0.1562,-0.8984,0.6641,-0.1562,-0.7813,0.7422,0.1172,0.8984,-0.1562,0.1172,0.8203,-0.5469
4.9612,0.5327,-0.1562,-0.8984,0.6641,-0.1562,-0.7813,0.7422,0.1172,0.8984,-0.1562,0.1172,0.8203,-0.5469
5.1793,0.5718,-0.1562,-0.8984,0.6250,-0.1562,-0.7813,0.7422,0.1172,0.8984,-0.1562,0.1172,0.8203,-0.5469
4.9612,0.5621,-0.1562,-0.8984,0.6641,-0.1562,-0.7813,0.7422,0.1172,0.8984,-0.1562,0.1172,0.8203,-0.5469
5.0702,0.6305,-0.1562,-0.8984,0.6641,-0.1562,-0.7422,0.7813,0.1562,0.8984,-0.1562,0.1172,0.8594,-0.5078
4.9612,0.5327,-0.1953,-0.8984,0.6641,-0.1172,-0.7813,0.7031,0.1172,0.8984,-0.1562,0.1172,0.8203,-0.5469
4.9612,0.5327,-0.1953,-0.8594,0.6641,-0.1172,-0.7813,0.7031,0.1172,0.8984,-0.1562,0.1172,0.8203,-0.5469
5.0157,0.5376,-0.1953,-0.8594,0.6641,-0.1172,-0.7813,0.6641,0.1172,0.8984,-0.1562,0.1172,0.8203,-0.5469
5.0157,0.5327,-0.1953,-0.8203,0.7031,-0.1172,-0.7813,0.6250,0.1172,0.8984,-0.1562,0.1172,0.8203,-0.5469
4.9612,0.5327,-0.1953,-0.8203,0.7031,-0.0781,-0.7813,0.5859,0.1172,0.8984,-0.1562,0.1172,0.8203,-0.5469
4.9612,0.5327,-0.1953,-0.7813,0.7031,-0.0391,-0.7813,0.5859,0.1172,0.8984,-0.1562,0.1172,0.8203,-0.5469
4.9612,0.6109,-0.1562,-0.7813,0.7422,0.0000,-0.7813,0.6250,0.1172,0.8984,-0.1172,0.1562,0.8203,-0.5469
4.9067,0.5425,-0.1562,-0.7422,0.7031,0.0000,-0.7813,0.6250,0.1172,0.8984,-0.1562,0.1172,0.7813,-0.5469
4.9612,0.5327,-0.1562,-0.7813,0.7031,0.0000,-0.7813,0.6641,0.1172,0.8984,-0.1562,0.1172,0.7813,-0.5469
5.0157,0.5327,-0.1562,-0.7813,0.7031,-0.0391,-0.7813,0.7031,0.1172,0.8984,-0.1562,0.1172,0.7813,-0.5469
5.0157,0.5327,-0.1562,-0.7422,0.7031,-0.0391,-0.7422,0.7031,0.1172,0.8984,-0.1562,0.1562,0.8203,-0.5469
4.9612,0.5376,-0.1562,-0.7422,0.7031,-0.0391,-0.7422,0.7422,0.1172,0.8984,-0.1562,0.1172,0.8203,-0.5469
5.0157,0.5376,-0.1562,-0.7031,0.7422,-0.0391,-0.7031,0.7813,0.1172,0.8984,-0.1172,0.1172,0.8203,-0.5469
5.0702,0.5474,-0.1562,-0.7422,0.7031,-0.0781,-0.7422,0.7422,0.0781,0.8984,-0.1172,0.1172,0.8203,-0.5469
4.9612,0.5327,-0.1562,-0.7031,0.7031,-0.0781,-0.7031,0.7031,0.1172,0.8984,-0.1562,0.1172,0.8203,-0.5469
5.0157,0.5327,-0.1562,-0.7031,0.7031,-0.0391,-0.7031,0.7031,0.1172,0.8984,-0.1562,0.1172,0.8203,-0.5469
