 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
4.9612,1.1339,-0.4688,-0.0391,-0.0391,0.5469,-0.1172,0.2344,-0.0391,0.8594,-0.3125,-0.2734,0.9766,-0.2344
4.9067,0.7087,-0.4688,-0.0781,-0.0391,0.5469,-0.1562,0.1953,-0.0781,0.8203,-0.3516,-0.3125,0.9375,-0.2734
4.9612,0.8260,-0.6250,-0.1172,-0.1172,0.5469,-0.1953,0.1172,-0.1172,0.7813,-0.3516,-0.3516,0.8984,-0.2734
5.0157,0.0147,-0.6641,-0.0391,-0.1172,0.5469,-0.1953,0.1172,-0.1172,0.8203,-0.3516,-0.3125,0.9375,-0.2734
4.9612,0.8895,-0.7422,-0.0391,-0.1562,0.5859,-0.1953,0.0781,-0.1172,0.8203,-0.3516,-0.3125,0.9375,-0.2734
4.9612,0.8944,-0.7422,-0.0391,-0.1953,0.6250,-0.1953,0.0781,-0.1172,0.8203,-0.3516,-0.2734,1.0547,-0.1953
5.0702,0.8895,-0.7031,0.0391,-0.1562,0.6641,-0.1953,0.0391,-0.1562,0.7422,-0.4297,-0.3906,0.8203,-0.3516
4.9612,0.4936,-0.7031,0.0000,-0.2344,0.6250,-0.2734,-0.0391,-0.1172,0.7813,-0.3906,-0.3516,0.8984,-0.3125
4.9612,0.6794,-0.7813,0.0000,-0.2734,0.6641,-0.2734,-0.0391,-0.1172,0.8203,-0.3516,-0.3125,0.9375,-0.2734
4.9612,0.9629,-0.7422,0.0391,-0.2734,0.7422,-0.3125,-0.0391,-0.0781,0.8203,-0.3516,-0.3125,0.9375,-0.2734
4.9612,0.7429,-0.7813,0.0391,-0.3125,0.7422,-0.3516,-0.1172,-0.1172,0.8203,-0.3516,-0.3125,0.9375,-0.2734
4.9612,1.0313,-0.7813,0.0781,-0.3516,0.7813,-0.3906,-0.1562,-0.0781,0.8203,-0.3516,-0.3516,0.9375,-0.2734
4.9612,1.2023,-0.6641,0.2344,-0.2344,0.9766,-0.2734,0.0000,0.0781,0.9766,-0.2344,-0.2344,1.0156,-0.1562
4.9612,0.6843,-0.8203,0.0781,-0.3906,0.9375,-0.4688,-0.1953,-0.1172,0.7813,-0.3906,-0.3516,0.8594,-0.3516
5.0157,0.6012,-0.8594,0.0391,-0.4297,0.9375,-0.4297,-0.1562,-0.0781,0.8203,-0.3516,-0.2734,1.0156,-0.2344
4.9612,0.8407,-0.8594,0.0391,-0.4297,1.0156,-0.4297,-0.1562,-0.0781,0.8203,-0.3516,-0.3125,0.9375,-0.2734
